number,symbol,name,mass_number#1,percentage#1,mass_number#2,percentage#2,mass_number#3,percentage#3,mass_number#4,percentage#4,mass_number#5,percentage#5,mass_number#6,percentage#6
1,H,Hydrogen,1,99.98,2,0.02
2,He,Helium,4,99.999863,3,0.000137
3,Li,Lithium,7,92.58,6,7.42
4,Be,Beryllium,9,100,,,,,,,,,,
5,B,Boron,11,80.2,10,19.8,,,,,,,,
6,C,Carbon,12,98.93,13,1.07,,,,,,,,
7,N,Nitrogen,14,99.63,15,0.37,,,,,,,,
8,O,Oxygen,16,99.76,18,0.2,17,0.038,,,,,,
9,F,Florine,19,100,,,,,,,,,,
10,Ne,Neon,20,90.6,22,9.2,21,0.26,,,,,,
11,Na,Sodium,23,100,,,,,,,,,,
12,Mg,Magnesium,24,78.9,26,11.1,25,10,,,,,,
13,Al,Aluminium,27,100,,,,,,,,,,
14,Si,Silicon,28,92.23,29,4.67,30,3.1,,,,,,
15,P,Phosphorus,31,100,,,,,,,,,,
16,S,Sulfur,32,95.02,34,4.21,33,0.75,36,0.02,,,,
17,Cl,Chlorine,35,75.77,37,24.23,,,,,,,,
18,Ar,Argon,40,99.6,38,0.063,36,0.34,,,,,,
19,K,Potassium,39,93.2,41,6.73,40,0.012,,,,,,
20,Ca,Calcium,40,96.94,42,2.08,44,0.86,43,0.19,48,0.19,46,0.004
